Measurement,Type,State,Forest type,Total,0-20 years,21-40 years,41-60 years,61-80 years,81-100 years,100-120 years,121-140 years,141-160 years,161-180 years,181-200 years,500+ years
acres,ALL,AL,Total,23135426.00,8893434.00,5947402.00,4074896.00,3313066.00,787507.00,113204.00,5916.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Eastern hemlock,16641.00,0.00,6058.00,4161.00,1393.00,0.00,5029.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Longleaf pine,714367.00,327133.00,81928.00,128430.00,124595.00,52280.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Slash pine,375417.00,54074.00,132391.00,119894.00,66329.00,2729.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Loblolly pine,8827491.00,4736769.00,3108063.00,631018.00,309377.00,42264.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Shortleaf pine,102573.00,15722.00,10567.00,43395.00,28343.00,4546.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Virginia pine,227197.00,66237.00,56048.00,57815.00,41025.00,1515.00,4558.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Spruce pine,19521.00,13612.00,2951.00,2958.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Eastern redcedar,76748.00,23617.00,32958.00,10665.00,8404.00,1105.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Eastern redcedar / hardwood,88715.00,32636.00,20495.00,30292.00,0.00,5293.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Longleaf pine / oak,144807.00,55267.00,5951.00,38153.00,40878.00,4558.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Shortleaf pine / oak,185309.00,18441.00,38842.00,53316.00,58642.00,16068.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Virginia pine / southern red oak,98643.00,6273.00,12711.00,60026.00,16527.00,3105.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Loblolly pine / hardwood,2104402.00,861139.00,543349.00,414141.00,263032.00,18084.00,4657.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Slash pine / hardwood,133721.00,8975.00,33260.00,39512.00,40586.00,10467.00,921.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Other pine / hardwood,59551.00,6925.00,2915.00,25232.00,18563.00,5916.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Post oak / blackjack oak,222856.00,30740.00,25842.00,57107.00,89329.00,19837.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Chestnut oak,275102.00,12221.00,17665.00,73222.00,123253.00,42664.00,6078.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,White oak / red oak / hickory,1552324.00,182134.00,188884.00,371935.00,559119.00,225867.00,24385.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,White oak,161773.00,18862.00,15213.00,48124.00,46601.00,20207.00,12766.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Northern red oak,10481.00,3030.00,0.00,7451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Yellow-poplar / white oak / northern red oak,446636.00,106043.00,85878.00,109532.00,101511.00,43671.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sassafras / persimmon,107011.00,77417.00,15887.00,13707.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sweetgum / yellow-poplar,1001570.00,349872.00,232408.00,247545.00,132109.00,30702.00,8934.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Scarlet oak,6063.00,1515.00,3029.00,0.00,1519.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Yellow-poplar,118362.00,26572.00,54948.00,18449.00,16878.00,1515.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Black locust,4544.00,0.00,0.00,0.00,4544.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Southern scrub oak,18502.00,5830.00,1528.00,5951.00,0.00,5194.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Chestnut oak / black oak / scarlet oak,283275.00,21741.00,32103.00,80219.00,107343.00,29601.00,12268.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Cherry / white ash / yellow-poplar,183996.00,102290.00,45147.00,17880.00,12649.00,6030.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Elm / ash / black locust,148234.00,76251.00,30424.00,25603.00,11411.00,4545.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Red maple / oak,39151.00,25525.00,1552.00,10530.00,1543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Mixed upland hardwoods,2386332.00,893559.00,548375.00,567167.00,308161.00,58263.00,10806.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Swamp chestnut oak / cherrybark oak,128079.00,13840.00,7790.00,21002.00,72096.00,13351.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sweetgum / Nuttall oak / willow oak,923854.00,146176.00,193212.00,244404.00,285375.00,44497.00,10191.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Overcup oak / water hickory,105259.00,14560.00,4660.00,47185.00,34417.00,0.00,4437.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Baldcypress / water tupelo,196530.00,14817.00,11715.00,48960.00,89784.00,25194.00,6060.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sweetbay / swamp tupelo / red maple,826190.00,187485.00,165983.00,247746.00,186928.00,30017.00,2115.00,5916.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Baldcypress / pondcypress,1507.00,0.00,0.00,0.00,0.00,1507.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,River birch / sycamore,91402.00,17742.00,30478.00,32464.00,10717.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Cottonwood,5887.00,5887.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Willow,14627.00,11044.00,3583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sycamore / pecan / American elm,163770.00,54401.00,33858.00,26321.00,40209.00,8981.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sugarberry / hackberry / elm / green ash,291435.00,63116.00,86126.00,82530.00,55218.00,4445.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Silver maple / American elm,339.00,0.00,0.00,339.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Red maple / lowland,21197.00,10516.00,6024.00,0.00,4657.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Cottonwood / willow,6030.00,0.00,6030.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Other hardwoods,8031.00,1543.00,1519.00,1479.00,0.00,3489.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Paulownia,2995.00,0.00,2995.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Other exotic hardwoods,48799.00,33704.00,6060.00,9036.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Nonstocked,158182.00,158182.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Total,15636433.00,3932296.00,3532563.00,3965277.00,3299669.00,787507.00,113204.00,5916.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Eastern hemlock,16641.00,0.00,6058.00,4161.00,1393.00,0.00,5029.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Longleaf pine,401332.00,47540.00,53515.00,123401.00,124595.00,52280.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Slash pine,235941.00,11008.00,44870.00,111005.00,66329.00,2729.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Loblolly pine,2714295.00,887470.00,932229.00,556352.00,295980.00,42264.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Shortleaf pine,92065.00,6729.00,10567.00,41880.00,28343.00,4546.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Virginia pine,209007.00,54107.00,56048.00,51755.00,41025.00,1515.00,4558.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Spruce pine,19521.00,13612.00,2951.00,2958.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Eastern redcedar,59675.00,8023.00,31479.00,10665.00,8404.00,1105.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Eastern redcedar / hardwood,85746.00,29668.00,20495.00,30292.00,0.00,5293.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Longleaf pine / oak,98110.00,13092.00,5951.00,33631.00,40878.00,4558.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Shortleaf pine / oak,183824.00,18441.00,37358.00,53316.00,58642.00,16068.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Virginia pine / southern red oak,98643.00,6273.00,12711.00,60026.00,16527.00,3105.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Loblolly pine / hardwood,1637044.00,489209.00,456859.00,405203.00,263032.00,18084.00,4657.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Slash pine / hardwood,129268.00,4522.00,33260.00,39512.00,40586.00,10467.00,921.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Other pine / hardwood,59551.00,6925.00,2915.00,25232.00,18563.00,5916.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Post oak / blackjack oak,215931.00,23815.00,25842.00,57107.00,89329.00,19837.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Chestnut oak,271997.00,9116.00,17665.00,73222.00,123253.00,42664.00,6078.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,White oak / red oak / hickory,1514599.00,144408.00,188884.00,371935.00,559119.00,225867.00,24385.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,White oak,155563.00,12653.00,15213.00,48124.00,46601.00,20207.00,12766.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Northern red oak,10481.00,3030.00,0.00,7451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
