State,Stand_Age,Stand_Origin,Forest_type_group,tC,ac,tC_ac
Tennessee,0-20 years,Planted,Oak_hickory_group,1077887.00,46054.00,23.40
Oklahoma,0-20 years,Planted,Oak_hickory group,1090436.00,45914.00,23.75
Alabama,0-20 years,Natural,Other_eastern_softwoods_group,73611.00,3050.00,24.13
Tennessee,0-20 years,Planted,White_red_jack_pine_group,35854.00,1483.00,24.17
Tennessee,0-20 years,Total,White_red_jack_pine_group,35854.00,1483.00,24.17
South Carolina,0-20 years,Planted,Other eastern softwoods group,53830.00,2186.00,24.63
South Carolina,Total,Planted,Other eastern softwoods group,53830.00,2186.00,24.63
Oklahoma,0-20 years,Total,Oak_hickory group,25584698.00,1033540.00,24.75
Oklahoma,0-20 years,Natural,Oak_hickory group,24494262.00,987626.00,24.80
Florida,0-20 years,Natural,Other_eastern_softwoods_group,36058.00,1451.00,24.85
Florida,0-20 years,Total,Other_eastern_softwoods_group,36058.00,1451.00,24.85
Texas,0-20 years,Natural,Pinyon_juniper group,18097049.00,727369.00,24.88
Texas,0-20 years,Total,Pinyon_juniper group,18097049.00,727369.00,24.88
Mississippi,0-20 years,Natural,Other_eastern_softwoods_group,324588.00,12906.00,25.15
Alabama,0-20 years,Total,Other_eastern_softwoods_group,252512.00,9909.00,25.48
Texas,41-60 years,Planted,Other eastern softwoods group,38472.00,1508.00,25.51
Texas,Total,Planted,Other eastern softwoods group,38472.00,1508.00,25.51
Kentucky,0-20 years,Planted,Oak_pine_group,158740.00,6208.00,25.57
Kentucky,Total,Planted,Oak_pine_group,158740.00,6208.00,25.57
Louisiana,0-20 years,Planted,Other_eastern_softwoods_group,140059.00,5452.00,25.69
Louisiana,0-20 years,Total,Other_eastern_softwoods_group,140059.00,5452.00,25.69
Louisiana,Total,Planted,Other_eastern_softwoods_group,140059.00,5452.00,25.69
Louisiana,Total,Total,Other_eastern_softwoods_group,140059.00,5452.00,25.69
Tennessee,0-20 years,Planted,Elm_ash_cottonwood_group,150182.00,5830.00,25.76
Tennessee,Total,Planted,Elm_ash_cottonwood_group,150182.00,5830.00,25.76
Oklahoma,0-20 years,Natural,Other eastern softwoods group,3370107.00,130473.00,25.83
