State,Stand_Age,Stand_Origin,Forest type group,tC,ac,tC_ac
Alabama,0-20 years,Natural,Other eastern softwoods group,73611,3050,24.13
Alabama,0-20 years,Total,Other eastern softwoods group,252512,9909,25.48
Alabama,0-20 years,Planted,Other eastern softwoods group,178901,6859,26.08
Alabama,Total,Planted,Other eastern softwoods group,178901,6859,26.08
Alabama,21-40 years,Planted,Oak hickory group,409335,15213,26.91
Alabama,Total,Planted,Oak hickory group,6787578,244551,27.76
Alabama,0-20 years,Planted,Oak hickory group,6378243,229339,27.81
Alabama,0-20 years,Planted,Nonstocked,467897,15721,29.76
Alabama,Total,Planted,Nonstocked,467897,15721,29.76
Alabama,0-20 years,Total,Nonstocked,4140067,138226,29.95
Alabama,Total,Total,Nonstocked,4140067,138226,29.95
Alabama,0-20 years,Natural,Nonstocked,3672170,122506,29.98
Alabama,Total,Natural,Nonstocked,3672170,122506,29.98
Alabama,0-20 years,Total,Oak hickory group,57173298,1822270,31.37
Alabama,0-20 years,Planted,Exotic hardwoods group,45484,1445,31.48
Alabama,Total,Planted,Exotic hardwoods group,45484,1445,31.48
Alabama,0-20 years,Natural,Oak hickory group,50795055,1592932,31.89
Alabama,0-20 years,Natural,Other hardwoods group,51106,1543,33.12
Alabama,0-20 years,Total,Other hardwoods group,51106,1543,33.12
Alabama,0-20 years,Planted,Oak pine group,11727375,352884,33.23
Alabama,41-60 years,Natural,Other eastern softwoods group,377308,11092,34.02
Alabama,41-60 years,Total,Other eastern softwoods group,377308,11092,34.02
Alabama,21-40 years,Natural,Other eastern softwoods group,1288908,37485,34.39
Alabama,21-40 years,Total,Other eastern softwoods group,1288908,37485,34.39
Alabama,Total,Total,Other eastern softwoods group,2427047,67929,35.73
Alabama,0-20 years,Total,Oak pine group,32205741,889958,36.19
Alabama,0-20 years,Natural,Total,138735045,3821149,36.31
Alabama,81-100 years,Natural,Other hardwoods group,126824,3476,36.48
Alabama,81-100 years,Total,Other hardwoods group,126824,3476,36.48
Alabama,0-20 years,Natural,Elm ash cottonwood group,4945264,135104,36.6
Alabama,0-20 years,Total,Exotic hardwoods group,1342151,36649,36.62
Alabama,Total,Natural,Other eastern softwoods group,2248146,61070,36.81
Alabama,0-20 years,Natural,Exotic hardwoods group,1296667,35204,36.83
Alabama,0-20 years,Total,Elm ash cottonwood group,6683582,180322,37.06
Alabama,0-20 years,Natural,Oak pine group,20478367,537074,38.13
Alabama,0-20 years,Planted,Elm ash cottonwood group,1738319,45218,38.44
Alabama,0-20 years,Natural,Oak gum cypress group,11191515,290700,38.5
Alabama,Total,Planted,Oak pine group,16879119,438311,38.51
Alabama,0-20 years,Total,Oak gum cypress group,12675387,329114,38.51
Alabama,0-20 years,Planted,Oak gum cypress group,1483872,38414,38.63
Alabama,0-20 years,Natural,Longleaf slash pine group,2765948,70785,39.08
Alabama,Total,Planted,Elm ash cottonwood group,1829717,46739,39.15
Alabama,0-20 years,Total,Total,336758716,8545377,39.41
Alabama,41-60 years,Natural,Exotic hardwoods group,358572,9060,39.58
Alabama,41-60 years,Total,Exotic hardwoods group,358572,9060,39.58
Alabama,Total,Total,Exotic hardwoods group,2317317,57864,40.05
Alabama,Total,Natural,Exotic hardwoods group,2271833,56419,40.27
Alabama,0-20 years,Total,Longleaf slash pine group,17583143,420645,41.8
Alabama,0-20 years,Planted,Total,198023671,4724228,41.92
Alabama,0-20 years,Natural,Loblolly shortleaf pine group,43465342,1032251,42.11
Alabama,0-20 years,Planted,Longleaf slash pine group,14817195,349860,42.35
Alabama,0-20 years,Total,Loblolly shortleaf pine group,204651728,4716739,43.39
Alabama,0-20 years,Planted,Loblolly shortleaf pine group,161186386,3684488,43.75
Alabama,100+ years,Natural,Loblolly shortleaf pine group,199051,4541,43.83
Alabama,100+ years,Total,Loblolly shortleaf pine group,199051,4541,43.83
Alabama,Total,Natural,Other hardwoods group,302182,6787,44.52
Alabama,Total,Total,Other hardwoods group,302182,6787,44.52
Alabama,61-80 years,Natural,Other eastern softwoods group,67153,1479,45.4
Alabama,61-80 years,Total,Other eastern softwoods group,67153,1479,45.4
Alabama,61-80 years,Planted,Loblolly shortleaf pine group,352725,7542,46.77
Alabama,61-80 years,Planted,Total,352725,7542,46.77
